اسم الأكله,وقت الوجبة,عدد الاشخاص,الوقت,السعرات الحرايه,المقادير,التحضير,الصورة
      كبسة الفريك          ,غداء,    4 أشخاص    ,    90 دقيقة    ,    800 سعرة حرارية    ,"      دجاجة (1200 جم) مقطعة 4 قطع.  ,   ½ 1 كوب (300 جم) فريك.  ,   3 أكواب (750 مل) ماء.  ,   ثمرة بصل متوسطة الحجم مقطعة أرباع.  ,   3 فصوص ثوم.  ,   ¾ كوب (150 جم) بصل مفروم.  ,   كوب (200 جم) طماطم مفرومة.  ,   3 رؤوس حبهان ""هيل"".  ,   عود قرفة.  ,   3 ورقات لورا ""غار"".  ,   حبة لومي أسود.  ,   ملعقة كبيرة (10 جم) بهارات كبسة.  ,   ملح وفلفل أسود حسب الرغبة.  ,   2 ملعقة كبيرة (25 جم) سمن.  ,   ملعقة كبيرة (12.5 جم) معجون طماطم.      ","      افرزي الفريك من الشوائب، ثم اغسليه وانقعيه في الماء 60 دقيقة، ثم صفيه جيدًا من الماء.  ,   اغسلي الدجاج جيدًا، ثم ضعيه في القدر مع الثوم وثمرة بصل مقطعة أرباع والحبهان وورقتين غار وفلفل أسود.  ,   غطي القدر، واتركي الدجاج على نار متوسطة 45 دقيقة حتى ينضج، ثم انتشليه من المرق.  ,   في قدر على نار متوسطة، ضعي ملعقة كبيرة سمن، ثم أضيفي البصل وقلبي حتى يصفر لونه.  ,   أضيفي عود قرفة وورقة لورا وحبة لومي أسود، ثم قلبي حتى تفوح رائحتهم.  ,   أضيفي الفريك وبهارات الكبسة، وقلبيه مع البصل والبهارات خمس دقائق، ثم أضيفي الطماطم المفرومة، واتركيه على النار خمس دقائق أخرى.  ,   أضيفي المرق إلى الفريك، ثم تبليه بالملح والفلفل الأسود، ثم غطي القدر، واتركيها على نار هادئة حتى ينضج الفريك.  ,   اخلطي ملعقة كبيرة سمن مع ملعقة كبيرة معجون طماطم وقليل من الملح والفلفل الأسود، ثم ادهني الدجاج به، وحمريه في الفرن.  ,   اغرفي الفريك في طبق التقديم، ثم رصي الدجاج فوقه، ثم قدمي كبسة الفريك ساخنة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/112/178/mobile-watermarked-large-card/%D9%83%D8%A8%D8%B3%D8%A9-%D8%A7%D9%84%D9%81%D8%B1%D9%8A%D9%83.jpg
      عجة بالمخ          ,غداء,    4 أشخاص    ,    30 دقيقة    ,    264 سعرة حرارية    ,"      مخ ضأن أو بقري.  ,   ½ كوب (100 جم) بطاطس مقشرة ومقطعة مكعبات صغيرة.  ,   كوب (200 جم) طماطم مقطعة مكعبات صغيرة.  ,   4 فصوص ثوم مقطعة شرائح.  ,   قرن فلفل أخضر حار مقطع شرائح.  ,   2 ملعقة كبيرة (30 مل) زيت نباتي.  ,   2 ملعقة كبيرة (25 جم) معجون طماطم.  ,   ½ ملعقة صغيرة (2.5 جم) كراوية.  ,   ½ ملعقة صغيرة (2.5 جم) فلفل أحمر.  ,   ½ ملعقة صغيرة (2.5 جم) فلفل أسود.  ,   ملعقة صغيرة (5 جم) ملح.  ,   ملعقة صغيرة (5 جم) نعناع مجفف مطحون.  ,   كوب (250 مل) ماء.  ,   4 بيضات.      ","      اغسلي المخ جيدًا وانقعيه في الماء 30 دقيقة، ثم أزيلي القشرة الخارجية من حوله.  ,   في مقلاة كبيرة على نار متوسطة، ضعي الزيت والثوم، وقلبي لثواني، ثم أضيفي البطاطس، وقلبيها حتى تتحمر قليلًا.  ,   أضيفي الطماطم وقرن الفلفل الأخضر الحار، واتركيها خمس دقائق حتى تتسبك قليلًا.  ,   أضيفي المخ والتوابل، ثم قلبي لعدة دقائق، ثم قطعي المخ بملعقة خشبية قطع صغيرة.  ,   أذيبي معجون الطماطم في كوب ماء، ثم أضيفيه إلى المقلاة، ثم غطيها واتركيها على النار حتى ينضج المخ من 10 إلى 15 دقيقة.  ,   أضيفي  البيض إلى المقلاة، ثم غطيها حتى ينضج من دقيقتين إلى ثلاثة، ثم ارفعيها من على النار وقدمي عجة المخ ساخنة مع الخبز.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/112/156/mobile-watermarked-large-card/04-SupermamaLogo.jpg
      كبسة بالسجق          ,غداء,    6 أشخاص    ,    35 دقيقة    ,    561 سعرة حرارية    ,"      ½ كيلو (500 جم) سجق بلدي مقطع.  ,   2 كوب (400 جم) أرز بسمتي منقوع ومصفى.  ,   2 ملعقة كبيرة (30 مل) زيت نباتي.  ,   كوب (200 جم) بصل مفروم.  ,   قرن فلفل حار مقطع حلقات.  ,   كوب (200 جم) طماطم مفرومة.  ,   ملعقة كبيرة (10 جم) بهارات كبسة.  ,   عود قرفة.  ,   3 ورقات لورا ""غار"".  ,   5 رؤوس حبهان ""هيل"".  ,   3 رؤوس قرنفل.  ,   حبة لومي أسود.  ,   ملح وفلفل أسود حسب الرغبة.  ,   لتر (1000 مل) ماء.      ","      في قدر كبيرة، ضعي الزيت والبصل، ثم قلبي حتى يصفر لون البصل، ثم أضيفي السجق وقلبي حتى يتحمر قليلًا.  ,   أضيفي قرن الفلفل الحار والطماطم المفرومة وبهارات الكبسة وعود القرفة وورق اللورا والحبهان والقرنفل واللومي الأسود، ثم قلبي حتى تفوح رائحة التوابل.  ,   اضيفي الماء، ثم غطي القدر، واتركيها على النار من سبع دقائق إلى عشر دقائق حتى يغلي الماء.  ,   أضيفي الأرز البسمتي، ثم غطي القدر، واتركيها على النار 20 دقيقة أو حتى ينضج الأرز.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/112/175/mobile-watermarked-large-card/%D9%83%D8%A8%D8%B3%D8%A9-%D8%A8%D8%A7%D9%84%D8%B3%D8%AC%D9%82.jpg
      فسيخ مفروم          ,غداء,    3 أشخاص    ,    10 دقيقة    ,    486 سعرة حرارية    ,"      ½ كجم (500 جم) فسيخ مخلي.  ,   ½ كوب (100 جم) طحينة.  ,   3 ملاعق كبيرة (37.5 جم) زبادي.  ,   ملعقة كبيرة (10 جم) كمون.  ,   رشة مسحوق فلفل حار أحمر.  ,   رشة فلفل أسود.  ,   عصير ليمونة.  ,   ملعقة كبيرة (15 مل) خل.  ,   ½ كوب (125 مل) زيت زيتون.      ","      في محضر الطعام، أضيفي الفسيخ وعصير الليمون والبصل والخل، واخلطي جيدًا.  ,   أضيفي الزبادي والبهارات والطحينة، واخلطي مرة أخرى حتى تحصلي على معجون ناعم.  ,   ضعي في طبق التقديم، وزيني بقليلًا من الزيت والبصل الأخضر، ورشة من الكمون والفلفل الحار.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/112/176/mobile-watermarked-large-card/%D9%81%D8%B3%D9%8A%D8%AE-%D9%85%D9%81%D8%B1%D9%88%D9%85.jpg
      المندي الأردني          ,غداء,    4 أشخاص    ,    120 دقيقة    ,    1314.07 سعرة حرارية    ,"      2 كوب (400 جم) أرز بسمتي.  ,   ½ 3 أكواب (875 مل) ماء مغلي.  ,   دجاجة كاملة (1800 جم) مقطعة ثماني قطع ومغسولة جيدًا.  ,   2 بصلة كبيرة مقطعتان شرائح متوسطة.  ,   2 ثمرة طماطم مقشرة ومقطعة مكعبات صغيرة.  ,   2 فص ثوم.  ,   3 ملاعق كبيرة (45 جم) زبادي.  ,   3 ملاعق كبيرة (37.5 مل) ماء.  ,   4 ملاعق كبيرة (60 مل) زيت.  ,   ملعقة صغيرة (5 جم) بهارات مشكلة.  ,   ½ ملعقة صغيرة (2.5 جم) كمون.  ,   ½ ملعقة صغيرة (2.5 جم) كركم.  ,   ½ ملعقة صغيرة (2.5 جم) بودرة زعفران.  ,   عود قرفة.  ,   2 ورقة غار (لورا).  ,   ملعقة صغيرة (5 مل) عصير ليمون.  ,   ¼ ملعقة صغيرة (1.25 جم) خيوط زعفران + 2 ملعقة كبيرة (30 مل) ماء ورد.  ,   مكعب مرق دجاج مطحون.  ,   ملح وفلفل أسود.      ","      ضعي الزبادي وملعقتين من الزيت والبهارات والكركم وبودرة الزعفران وعصير الليمون والملح والفلفل الأسود والماء، وقلبي جيدًا حتى تمتزج المكونات.  ,   أضيفي الدجاج، وقلبي جيدًا، وغطي الوعاء بورق نايلون، ثم ضعيه في الثلاجة مدة ساعة.  ,   سخني الفرن عند درجة حرارة 200 درجة مئوية.  ,   سخني باقي الزيت في صينية ألومنيوم أو تيفال على نار متوسطة، ثم أضيفي البصل وقلبي من ثلاث إلى أربع دقائق حتى يذبل.  ,   أضيفي الثوم، وقلبي 30 ثانية، ثم أضيفي الطماطم وعود القرفة وورق الغار والملح والفلفل الأسود، وقلبي جيدًا.  ,   أضيفي مكعب المرق والأرز، وقلبي جيدًا، ثم أضيفي الماء المغلي، واتركي الخليط حتى يغلي على النار.  ,   غطي الصينية بورق قصدير (فويل) جيدًا، ثم اصنعي به عدة فتحات باستخدام سيخ خشبي أو شوكة.  ,   رصي الدجاج فوق الفويل، ثم غطيه بورق فويل آخر جيدًا.  ,   ضعي الصينية في الفرن مدة 90 دقيقة.  ,   صفي خيوط الزعفران من ماء الورد، واحتفظي بالماء جانبًا.  ,   بعد نضج الدجاج والأرز، انقلي الدجاج في صينية، واتركيه مكشوفًا، ثم ضعيه في الفرن 15 دقيقة حتى يحمر الوجه.  ,   أخرجي الأرز، ووزعي ماء الورد بالزعفران على الوجه، ثم ضعي ورقة قصدير في منتصف الأرز، وضعي بها الفحم المشتعل، ثم أضيفي قطرات الزيت إلى الفحم.  ,   غطي الصينية بسرعة بورقة قصدير جديدة، واتركيها جانبًا من ثلاث إلى أربع دقائق.  ,   ارفعي الفحم، وقلبي الأرز، ثم ضعيه في طبق التقديم.  ,   وزعي الدجاج على الوجه، وقدميه ساخنًا مع سلطة الزبادي بالخيار.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/392/mobile-watermarked-large-card/113392_1623099575.jpg
      كريب فاهيتا          ,غداء,    6 أشخاص    ,    90 دقيقة    ,    441.09 سعرة حرارية    ,"      ½ 1 كوب (225 جم) دقيق متعدد الاستخدامات.  ,   2 كوب (500 مل) حليب.  ,   2 بيضة كبيرة.  ,   ملعقة كبيرة (15 جم) زبد ذائب وبارد.  ,   ½ ملعقة صغيرة (2.5 جم) سكر.  ,   ملعقة صغيرة (5 جم) ملح.  ,   ¼ ملعقة صغيرة (1.25 مل) فانيليا سائلة.      ","      ضعي جميع مكونات الكريب في الخلاط الكهربائي، واخلطي جيدًا حتى تمتزج المكونات.  ,   ضعي العجين في وعاء، وغلفيه بورق نايلون، ثم ضعيه في الثلاجة 30 دقيقة.  ,   سخني مقلاة غير قابلة للالتصاق على نار متوسطة، وادهنيها بقليل من الزبد.  ,   وزعي ربع كوب في المقلاة، وحركيها بطريقة دائرية حتى يُغطي العجين قاع المقلاة.  ,   اتركي العجين دقيقة، ثم اقلبيه على الجهة الأخرى، واتركيه دقيقة، ثم ضعيه في طبق جانبًا.  ,   كرري الخطوات السابقة مع باقي العجين حتى تنتهي منه.  ,   ضعي جميع البهارات في وعاء كبير، ثم أضيفي الماء وقلبي جيدًا.  ,   أضيفي شرائح اللحم وعصير الليمون وملعقتين من الزيت، وقلبي جيدًا حتى تمتزج المكونات.  ,   غلفي الوعاء، وضعيه في الثلاجة أربع ساعات.  ,   سخني ملعقة من الزيت في مقلاة كبيرة على نار متوسطة، ثم أضيفي البصل مع رشة ملح، وقلبي من خمس إلى ثماني دقائق على نار هادئة حتى يصفر لونه.  ,   أضيفي نصف كمية الزبد، وقلبي البصل حتى يُصبح لونه بنيًا فاتحًا.  ,   ارفعي البصل في وعاء، واتركيها جانبًا.  ,   ضعي باقي الزيت والزبد في المقلاة نفسها، واتركيهما حتى يذوب الزبد.  ,   أضيفي نصف كمية اللحم، وقلبيه من دقيقتين إلى ثلاث دقائق حتى يتغير لونه، ثم ارفعيه مع البصل.  ,   أضيفي باقي اللحم، وقلبيه دقيقتين حتى يتغير لونه، ثم ارفعيه مع البصل وباقي اللحم.  ,   أضيفي الفلفل الملون في المقلاة نفسها ونصف ملعقة صغيرة من الملح، وقلبي دقيقتين.  ,   أضيفي البصل واللحم وصلصة الطماطم، وقلبي جيدًا دقيقة، ثم ارفعيه عن النار.  ,   افردي الكريب على طبق مسطح، ثم وزعي الفاهيتا على نصف دائرة الكريب، ثم شكليه إلى مثلث.  ,   حمصي كريب الفاهيتا في مقلاة غير قابلة للالتصاق على الجهتين، حتى يُصبح مقرمشًا، ثم قدميه ساخنًا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/311/mobile-watermarked-large-card/ce337fc12560bd2f.jpg
      الفاهيتا المكسيكية          ,غداء,    6 أشخاص    ,    75 دقيقة    ,    386.41 سعرة حرارية    ,"      كيلو (1000 جم) صدور دجاج مقطعة شرائح رفيعة.  ,   ثمرة فلفل أحمر رومي كبيرة مقطعة شرائح رفيعة.  ,   ثمرة فلفل أصفر رومي كبيرة مقطعة شرائح رفيعة.  ,   ثمرة فلفل أخضر رومي كبيرة مقطعة شرائح رفيعة.  ,   بصلة كبيرة مقطعة شرائح.  ,   3 فصوص ثوم مهروسة.  ,   3 ملاعق كبيرة (45 مل) مرق دجاج.  ,   2 ملعقة كبيرة (30 مل) عصير ليمون.  ,   2 ملعقة كبيرة (30 مل) زيت زيتون.  ,   ملح حسب الرغبة.  ,   خبز تورتيلا وصوص الأفوكادو وشرائح طماطم وخس للتقديم.      ","      ضعي مكونات البهارات في وعاء، وقلبي جيدًا.  ,   ضعي الدجاج في وعاء كبير، ثم أضيفي بهارات الفاهيتا والملح، وقلبي جيدًا حتى تمتزج المكونات.  ,   غطي الوعاء بورق نايلون شفاف، واتركيه جانبًا 30 دقيقة.  ,   سخني نصف كمية الزيت في مقلاة كبيرة على نار متوسطة، ثم أضيفي الدجاج، وقلبيه من دقيقتين إلى ثلاث دقائق.  ,   اخفضي النار، وغطي المقلاة، واتركيها من عشر دقائق إلى 15 دقيقة.  ,   ضعي الدجاج في طبق، وغطيه بورق فويل، واتركيه جانبًا لتحضير الخضار.  ,   أضيفي باقي الزيت في المقلاة نفسها، ثم أضيفي البصل والفلفل الملون والثوم المفروم والملح، وقلبي خمس دقائق.  ,   أضيفي المرق وقلبي، ثم اتركيه دقيقة.  ,   أضيفي الدجاج وقلبي جيدًا، ثم أضيفي عصير الليمون وقلبي جيدًا.  ,   ضعي الفاهيتا في طبق التقديم، وقدميها مع التورتيلا والخس والطماطم وصوص الأفوكادو.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/308/mobile-watermarked-large-card/5c00dafc90e10302.jpg
      دجاج باللوز          ,غداء,    4 أشخاص    ,    40 دقيقة    ,    302 سعرة حرارية    ,"      4 صدور دجاج (500 جم) مخلية ومنزوعة الجلد.  ,   ½ 1 كوب (300 جم) لوز.  ,   ¼ كوب (37.5 جم) بقسماط مطحون.  ,   ملعقة صغيرة (5 جم) ثوم بودرة.  ,   ½ ملعقة صغيرة (2.5 جم) بابريكا.  ,   ملعقة صغيرة (5 جم) زعتر مجفف.  ,   ملح وفلفل أسود حسب الرغبة.  ,   بيضة مخفوقة.  ,   2 ملعقة كبيرة (30 مل) زيت زيتون.      ","      سخني الفرن على درجة حرارة 190 مئوية.  ,   ضعي اللوز والثوم البودرة والبابريكا والزعتر ونصف ملعقة صغيرة ملحًا في محضر الطعام، ثم اطحني حتى يصبح اللوز مجروشًا.  ,   اخلطي البقسماط الناعم مع خليط اللوز، ثم ضعي الخليط في طبق مسطح.  ,   تبلي صدور الدجاج بالملح والفلفل الأسود، ثم اغمسيها في البيض، ثم غطيها بخليط اللوز من الجهتين.  ,   ضعي صدور الدجاج في صينية مغطاة بورق الزبدة، ثم رشيها بزيت الزيتون.  ,   اخبزي صدور الدجاج باللوز في الفرن من 22 إلى 25 دقيقة أو حتى تنضج وتصبح ذهبية اللون.  ,   اتركي الدجاج يرتاح ثلاث دقائق، ثم قدميه ساخنًا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/258/mobile-watermarked-large-card/262bbeeb283bbead.jpg
      باستا القصدير بالدجاج          ,غداء,    4 أشخاص    ,    35 دقيقة    ,    448 سعرة حرارية    ,"      2 كوب (400 جم) مكرونة باستا مسلوقة.  ,   ¼ كيلو (250 جم) صدور دجاج مخلية مقطعة مكعبات صغيرة.  ,   ⅓ كوب (66.6 جم) بصل مفروم.  ,   ¼ كوب (50 جم) زبد.  ,   2 فص ثوم مفروم.  ,   2 ملعقة كبيرة (25 جم) معجون طماطم.  ,   ¾ كوب (187.5 مل) عصير طماطم.  ,   ½ كوب (125 مل) ماء سلق المكرونة.  ,   ¾ كوب (187.6 مل) كريمة طهي.  ,   ملعقة صغيرة (5 جم) ريحان مجفف.  ,   ملعقة صغيرة (5 جم) أوريجانو.  ,   ملعقة صغيرة (5 جم) بابريكا.  ,   ملح وفلفل أسود حسب الرغبة.  ,   ½ كوب (100 جم) جبن بارميزان مبشور.  ,   كوب (200 جم) جبن موزاريلا مبشور.      ","      تبلي قطع الدجاج بالملح والفلفل، ثم سخني مقلاة على نار متوسطة، ثم أذيبي الزبد، وضعي الدجاج.  ,   قلبي الدجاج حتى يكتسب اللون الذهبي، ثم أخرجيه من المقلاة.  ,   في المقلاة نفسها ضعي البصل، وقلبي حتى يذبل، ثم أضيفي الثوم والريحان والأوريجانو، وقلبي حتى تفوح رائحتها.  ,   ضعي معجون الطماطم، وقلبيه لدقيقة، ثم أضيفي عصير الطماطم ونصف كوب من ماء سلق المكرونة والبابريكا والفلفل الأسود، واتركي الصلصة خمس دقائق حتى تتسبك.  ,   أضيفي كريمة الطهي، وأعيدي الدجاج إلى المقلاة، واتركي الصلصة على النار ثلاث دقائق، ثم تبليها بالملح.  ,   قلبي المكرونة مع الصوص على النار، ثم ارفعيها.  ,   غطي صينية بايركس بورق القصدير ""الألمنيوم""، ثم اغرفي المكرونة بها.  ,   وزعي الجبن البارميزان والجبن الموزاريلا على الوجه، ثم غطيها بورق القصدير، وأحكمي إغلاقه.  ,   ضعي المكرونة في فرن ساخن على درجة حرارة 180 مئوية من 15 إلى 20 دقيقة، ثم أزيلي ورق القصدير، وقدميها ساخنة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/298/mobile-watermarked-large-card/374ab4260b330217.jpg
      كبسة مكرونة باللحم          ,غداء,    5 أشخاص    ,    100 دقيقة    ,    324 سعرة حرارية    ,"      ½ كيلو (500 جم) لحم مقطع مكعبات متوسطة الحجم.  ,   2 كوب (400 جم) مكرونة.  ,   كوب (200 جم) بصل مفروم.  ,   3 ملاعق كبيرة (45 مل) زيت.  ,   لتر (1000 مل) ماء ساخن.  ,   ثمرة ليمون أسود مجفف.  ,   عود قرفة.  ,   3 روؤس هيل ""حبهان"".  ,   ملعقة كبيرة (10 جم) بهارات كبسة.  ,   ½ ملعقة صغيرة (2.5 جم) فلفل أسود.  ,   ½ ملعقة صغيرة (2.5 جم) ثوم بودرة.  ,   ملح حسب الرغبة.  ,   كوب (200 جم) طماطم مفرومة.  ,   كوب (200 جم) بطاطس مقطعة مكعبات صغيرة.  ,   ½ كوب (100 جم) جزر مبشور.      ","      في قدر كبيرة على نار متوسطة، سخني الزيت، ثم ضعي البصل وقلبي حتى يكتسب لونًا ذهبيًا فاتحًا.  ,   ضعي اللحم، ثم قلبيه مع البصل حتى يتحمر، ثم أضيفي الليمون المجفف والقرفة والهيل.  ,   أضيفي الماء الساخن، ثم غطي القدر، واتركيها على نار هادئة 60 دقيقة.  ,   أضيفي بهارات الكبسة والفلفل الأسود والثوم البودرة، ثم غطي القدر، واتركيها 30 دقيقة على النار أو حتى ينضج اللحم.  ,   أضيفي المكرونة والطماطم المفرومة إلى القدر، والمزيد من الماء إذا احتجتِ، ثم غطي القدر حتى تنضج المكرونة.  ,   في مقلاة على نار متوسطة، شوحي البطاطس والجزر حتى تكتسب البطاطس اللون الذهبي، وتبليهما بالملح والفلفل الأسود، ثم ضعيهما على المكرونة.  ,   اغرفي كبسة المكرونة في طبق التقديم، وقدميها ساخنة على الغداء.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/260/mobile-watermarked-large-card/50cb11317999f950.jpg
      الكبسة الإسبانية          ,غداء,    6 أشخاص    ,    60 دقيقة    ,    166 سعرة حرارية    ,"      كيلو (1000 جم) صدور دجاج مقطعة.  ,   ½ 2 كوب (625 مل) مرق دجاج.  ,   ½ 1 كوب (300 جم) أرز بسمتي.  ,   2 ثمرة طماطم مقشرة ومقطعة مكعبات.  ,   ثمرة فلفل أخضر مقطعة شرائح.  ,   ثمرة فلفل أحمر مقطعة شرائح.  ,   بصلة متوسطة مفرومة ناعمًا.  ,   2 فص ثوم مفروم ناعمًا.  ,   2 ملعقة كبيرة (30 مل) زيت.  ,   ½ ملعقة صغيرة (2.5 جم) بابريكا.  ,   ملح وفلفل أسود.  ,   بقدونس للتزيين.      ","      في وعاء، ضعي الدجاج المقطع وتبليه بالملح والفلفل الأسود، ثم ضعيه في الثلاجة من 30 إلى 60 دقيقة.  ,   على نار متوسطة، سخني ملعقة من الزيت، ثم شوحي الدجاج حتى يُصبح لونه ذهبيًّا، ثم ارفعيه من القدر واتركيه جانبًا.  ,   في القدر نفسها، سخني ملعقة أخرى من الزيت، ثم أضيفي البصل وقلبيه حتى يكتسب لونًا ذهبيًا.  ,   أضيفي الثوم وقلبي دقيقة، ثم أضيفي الطماطم والفلفل الألوان وقلبي جيدًا.  ,   أضيفي مرق الدجاج والأرز والبابريكا والملح والفلفل الأسود، وقلبي جيدًا حتى تمتزج المكونات.  ,   أضيفي قطع الدجاج، واتركي المكونات على نار متوسطة حتى تغلي.  ,   غطي القدر واتركيها على نار هادئة حتى تنضج الكبسة.  ,   ضعي الكبسة في طبق التقديم، وزيني الوجه بالبقدونس وقدميها ساخنة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/133/mobile-watermarked-large-card/ad89fec186262d77.jpg
      بيتزا إندومي          ,غداء,    4 أشخاص    ,    25 دقيقة    ,    371.5 سعرة حرارية    ,"      3 أكياس إندومي (شعيرية سريعة التحضير).  ,   2 بيضة.  ,   ½ كوب (100 جم) جبن شيدر مبشور.  ,   ¼ كوب (50 جم) جبن موزاريلا مبشور.  ,   ½ كوب (100 جم) صلصة بيتزا جاهزة.  ,   ¼ معلقة صغيرة (1.25 جم) ثوم بودرة.  ,   ملح وفلفل أسود.  ,   بيبروني حسب الرغبة.      ","      سخني الفرن مسبقًا عند 190 درجة مئوية.  ,   على نار متوسطة، اسلقي الإندومي بالماء بحسب التعليمات المدونة على الكيس.  ,   صفي الإندومي من الماء وضعيه في وعاء، ثم أضيفي نصف ملعقة صغيرة من توابل الإندومي وملح وفلفل أسود وثوم بودرة وقلبي جيدًا.  ,   أضيفي الجبن الشيدر المبشور وقلبي مرة أخرى، ثم أضيفي البيض وقلبي جيدًا حتى تمتزج المكونات.  ,   ضعي مزيج الإندومي في صينية فرن، وأدخليها إلى الفرن 15 دقيقة.  ,   أخرجي الصينية ووزعي الصلصة الجاهزة على الوجه، ثم أضيفي الجبن الموزاريلا والبيبروني.  ,   أدخلي الصينية إلى الفرن مرة أخرى عشر دقائق.  ,   قدمي بيتزا الإندومي ساخنة مع مشروبك المفضل.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/135/mobile-watermarked-large-card/f35292f8bb8dc539.jpg
